File Type,Files Deleted,Files Created,Files Written,Directories Created,Opened REG keys,DLLs Loaded,Hosts,VirusTotal
6,92,1,1,0,11,7,0,0
5,0,7,7,1,11,20,3,61
4,0,0,0,0,0,1,4,37
6,8,8,9,15,371,76,0,0
6,1,2,1,4,302,30,0,0
1,0,15,13,12,468,18,3,0
3,0,0,0,0,2,7,3,40
2,0,0,0,0,1,18,4,61
6,0,0,0,0,13,10,0,0
6,0,23,25,6,207,19,0,0
6,785,4,3,0,8,0,0,0
6,2,6,4,8,285,32,0,0
6,8,7,8,15,344,74,0,0
6,0,0,0,0,0,4,0,0
6,0,0,0,0,9,4,0,0
5,0,5,4,1,2,12,3,61
6,0,3,2,5,17,15,0,0
5,0,2,1,0,1,7,3,61
3,0,0,0,0,2,7,4,40
2,0,0,0,0,0,20,4,58
1,0,1,0,2,272,13,3,54
6,0,0,0,0,5,5,0,0
0,1,0,0,0,5,17,3,41
3,0,0,0,0,2,7,3,41
1,0,15,13,12,468,18,3,0
1,0,1,0,2,272,13,5,51
1,0,14,12,12,272,16,3,0
6,0,1,0,0,9,8,0,0
6,6,1,0,3,112,52,0,0
0,0,1,1,0,0,2,3,56
4,0,0,0,0,1,0,3,37
6,0,2,2,3,43,18,0,0
3,0,0,0,0,2,7,3,41
3,0,0,0,0,2,7,3,39
6,5,8,5,2,109,41,0,0
1,0,1,0,2,272,13,0,0
6,0,0,0,1,185,15,0,0
5,0,5,4,1,2,12,3,61
3,0,0,0,0,2,5,3,43
6,29,4,1,9,287,19,0,0
0,0,0,0,0,5,18,3,57
6,0,0,0,0,4,1,0,0
6,1,1,1,1,95,8,0,0
6,1,9,8,1,0,17,0,0
2,0,0,0,0,36,19,4,59
6,0,0,0,0,0,0,0,0
1,1,1,0,2,282,16,3,0
4,0,0,0,0,1,8,3,33
5,0,5,4,1,2,8,3,65
6,0,0,0,0,5,4,0,0
6,0,39,39,3,12,10,0,0
4,0,0,0,0,9,5,4,47
0,1,0,0,0,7,17,4,54
2,0,0,0,0,13,21,3,60
6,0,0,0,0,2,3,0,0
6,0,0,0,0,4,14,0,0
2,0,0,0,0,1,15,4,58
5,0,5,4,1,2,9,3,59
6,2,6,4,8,286,30,0,0
6,73,72,72,6,339,53,0,0
6,0,3,3,4,279,21,0,0
6,0,0,0,0,2,15,0,0
1,0,15,13,12,468,18,3,57
1,1,0,0,0,3,0,5,49
6,0,0,0,1,62,11,0,0
